Type;FSL-3;
Version;2.40;
Date;16.Oct 23;
Mode;ANALYZER;
Center Freq;99960000,000000;Hz
Freq Offset;0,000000;Hz
Span;196000000,000000;Hz
x-Axis;LIN;
Start;1960000,000000;Hz
Stop;197960000,000000;Hz
Ref Level;10,000000;dBm
Level Offset;0,000000;dB
Ref Position;100,000000;%
y-Axis;LOG;
Level Range;100,000000;dB
Rf Att;30,000000;dB
RBW;30000,000000;Hz
VBW;100000,000000;Hz
SWT;0,215000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
52920000;-65,165802001953125;-90,687904357910156
53312000;-63,102096557617188;-100,12395477294922
53704000;-66,707260131835938;-101,47453308105469
54096000;-63,109195709228516;-93,17364501953125
54488000;-62,991554260253906;-96,468437194824219
54880000;-66,185966491699219;-96,888236999511719
55272000;-65,172698974609375;-100,27480316162109
55664000;-65,414138793945313;-108,76624298095703
56056000;-65,219024658203125;-88,892875671386719
56448000;-67,64764404296875;-118,09652709960937
56840000;-65,088966369628906;-99,0794677734375
57232000;-71,231155395507813;-105,59921264648437
57624000;-67,635948181152344;-110,38526916503906
58016000;-67,363304138183594;-96,823127746582031
58408000;-66,6220703125;-100,84000396728516
58800000;-66,046836853027344;-114,989990234375
59192000;-67,398841857910156;-95,952125549316406
59584000;-63,532058715820313;-95,902313232421875
59976000;-66,352043151855469;-87,435989379882813
60368000;-66,873992919921875;-105,73637390136719
60760000;-65,861671447753906;-115,42844390869141
61152000;-66,559303283691406;-88,641136169433594
61544000;-67,066574096679688;-96,494499206542969
61936000;-65,196388244628906;-89,970268249511719
62328000;-66,242874145507813;-96,28729248046875
62720000;-65,944717407226563;-90,573677062988281
63112000;-66,821510314941406;-90,391029357910156
63504000;-64,814544677734375;-94,84368896484375
63896000;-67,830055236816406;-109,86614227294922
64288000;-68,37408447265625;-104,08881378173828
64680000;-66,548210144042969;-92,26611328125
65072000;-67,91790771484375;-94,626678466796875
65464000;-66,723442077636719;-96,125770568847656
65856000;-66,27154541015625;-103,14322662353516
66248000;-68,541496276855469;-90,303176879882813
66640000;-65,91522216796875;-109,61824798583984
67032000;-65,581512451171875;-99,996513366699219
67424000;-67,507980346679688;-107,72429656982422
67816000;-65,878852844238281;-98,501007080078125
68208000;-64,937583923339844;-94,741546630859375
68600000;-67,489013671875;-104,32502746582031
68992000;-68,801132202148437;-109,37812042236328
69384000;-66,024139404296875;-94,569450378417969
69776000;-65,314346313476562;-84,659408569335937
70168000;-67,103805541992188;-96,672676086425781
70560000;-64,794464111328125;-94,44140625
70952000;-65,861419677734375;-95,346054077148438
71344000;-64,354812622070312;-102,27532958984375
71736000;-68,744300842285156;-107,15995788574219
72128000;-68,218681335449219;-98,355796813964844
72520000;-65,199104309082031;-90,564483642578125
72912000;-66,488883972167969;-97,672584533691406
73304000;-66,594833374023438;-114,9376220703125
73696000;-67,466934204101562;-97,610458374023438
74088000;-67,155014038085938;-103,00285339355469
74480000;-67,141197204589844;-96,926033020019531
74872000;-67,030677795410156;-92,040473937988281
75264000;-67,311859130859375;-104,42964935302734
75656000;-67,068161010742188;-99,294021606445313
76048000;-68,142662048339844;-105,10047912597656
76440000;-66,418876647949219;-103,4456787109375
76832000;-68,159736633300781;-99,361862182617188
77224000;-65,654571533203125;-101,0313720703125
77616000;-67,521049499511719;-107,87839508056641
78008000;-67,440338134765625;-93,300895690917969
78400000;-66,044578552246094;-109,34414672851562
78792000;-66,296966552734375;-99,724449157714844
79184000;-63,533599853515625;-95,091873168945313
79576000;-63,245334625244141;-95,452423095703125
79968000;-64,086967468261719;-96,690406799316406
80360000;-69,005203247070313;-100,26426696777344
80752000;-65,290481567382812;-100,34365081787109
81144000;-65,946014404296875;-100,26143646240234
81536000;-66,931739807128906;-97,882736206054688
81928000;-65,729194641113281;-105,51004028320312
82320000;-64,719673156738281;-109,79961395263672
82712000;-66,132804870605469;-94,275482177734375
83104000;-67,053573608398438;-101,46028137207031
83496000;-64,852279663085938;-100,74942016601562
83888000;-66,734603881835937;-105,65144348144531
84280000;-68,713905334472656;-110,81558990478516
84672000;-63,823768615722656;-90,211288452148438
85064000;-66,3292236328125;-103,07386779785156
85456000;-63,180019378662109;-89,692306518554688
85848000;-65,487060546875;-93,236618041992188
86240000;-65,815376281738281;-84,402992248535156
86632000;-68,910247802734375;-112,28282165527344
87024000;-65,640121459960938;-91,222679138183594
87416000;-66,048049926757813;-102,11688232421875
87808000;-63,415058135986328;-95,609489440917969
88200000;-64,85443115234375;-106,75302124023437
88592000;-68,225570678710938;-100,39690399169922
88984000;-65,155227661132812;-108,64591979980469
89376000;-66,777786254882813;-92,941383361816406
89768000;-65,475845336914063;-116,81636810302734
90160000;-67,771560668945313;-107,83309936523437
90552000;-67,556228637695312;-100,22746276855469
90944000;-65,437828063964844;-97,8487548828125
91336000;-66,32928466796875;-107,26828002929687
91728000;-67,265060424804687;-87,885543823242188
92120000;-64,834808349609375;-102,7205810546875
92512000;-64,549468994140625;-101,61310577392578
92904000;-68,153678894042969;-101,997802734375
93296000;-67,950119018554688;-104,10904693603516
93688000;-67,347091674804687;-102,82282257080078
94080000;-66,810493469238281;-99,821632385253906
94472000;-67,298683166503906;-112,58232116699219
94864000;-65,856330871582031;-105,03253173828125
95256000;-67,612480163574219;-122,81716156005859
95648000;-64,875579833984375;-99,893173217773438
96040000;-65,253952026367188;-100,619384765625
96432000;-66,148368835449219;-96,5250244140625
96824000;-68,183746337890625;-94,428901672363281
97216000;-67,119514465332031;-101,22645568847656
97608000;-68,158775329589844;-92,876983642578125
98000000;-69,135047912597656;-99,884689331054688
98392000;-64,97369384765625;-90,187110900878906
98784000;-65,7137451171875;-107,06229400634766
99176000;-65,632255554199219;-91,952713012695312
99568000;-63,250545501708984;-90,006874084472656
99960000;-11,887213706970215;-102,27356719970703
100352000;-62,319217681884766;-106,37493896484375
100744000;-64,807609558105469;-93,892875671386719
101136000;-67,764335632324219;-105,44045257568359
101528000;-66,001510620117188;-98,313919067382812
101920000;-68,424774169921875;-104,86771392822266
102312000;-67,425888061523438;-96,092124938964844
102704000;-66,402175903320312;-90,221977233886719
